id,id_item_composto,id_inventario,id_coletor,quantidade_encontrada,status_componente,observacao_coleta,data_coleta,localizacao_encontrada
317,1815,2,12,1,COMPLETO,,,
318,1562,2,12,1,COMPLETO,,,
319,1196,2,12,1,COMPLETO,,,
320,4453,2,12,1,COMPLETO,,,
321,1798,2,12,1,COMPLETO,,,
322,1351,2,12,1,COMPLETO,,,
323,1758,2,12,1,COMPLETO,,,
324,1645,2,12,1,COMPLETO,,,
326,1301,2,12,1,COMPLETO,,,
327,1600,2,12,1,COMPLETO,,,
328,1767,2,12,1,COMPLETO,,,
329,1788,2,12,1,COMPLETO,,,
330,1529,2,12,1,COMPLETO,,,
331,1302,2,12,1,COMPLETO,,,
332,4456,2,12,1,COMPLETO,,,
333,4455,2,12,1,COMPLETO,"CADEIRA NA B6, mas mesa já estava registrada no sábado. O cadastro composto foi feito só da mesa e tive que alterar e por esse motivo precisei registrar novamente a mesa, pois deletou. Não identifiquei onde foi coletada antes.",,
334,1770,2,12,1,COMPLETO,,,
335,1111,2,12,1,COMPLETO,,,
336,1396,2,12,1,COMPLETO,,,
337,1456,2,12,1,COMPLETO,,,
338,1634,2,12,1,COMPLETO,,,
339,1400,2,12,1,COMPLETO,,,
340,1387,2,12,1,COMPLETO,,,
341,1606,2,12,1,COMPLETO,,,
342,4458,2,12,1,COMPLETO,,,
343,1169,2,12,1,COMPLETO,,,
344,1632,2,12,1,COMPLETO,,,
345,1346,2,12,1,COMPLETO,,,
346,1219,2,12,1,COMPLETO,,,
347,1390,2,12,1,COMPLETO,,,
348,1361,2,12,1,COMPLETO,,,
349,4454,2,12,1,COMPLETO,Tampo 1 pouco descascado,,
350,1391,2,12,1,COMPLETO,,,
351,1608,2,12,1,COMPLETO,Mesa com tampo e MDP retirado. Buraco no tampo.,2025-12-02 07:05:29.040159,
353,1266,2,12,1,COMPLETO,,,
354,4460,2,12,1,COMPLETO,,,
355,4461,2,12,1,COMPLETO,,,
356,1836,2,12,1,COMPLETO,,,
357,1364,2,12,1,COMPLETO,,,
358,1381,2,12,1,COMPLETO,,,
359,1556,2,12,1,COMPLETO,Tampo todo retirado. MDP totalmente aparente.,,
360,4463,2,12,1,COMPLETO,,,
361,1832,2,12,1,COMPLETO,,,
362,4443,2,12,1,COMPLETO,,,
363,1344,2,12,1,COMPLETO,,,
365,4465,2,12,1,COMPLETO,,,
366,4466,2,12,1,COMPLETO,,,
367,1837,2,12,1,COMPLETO,,,
368,1594,2,12,1,COMPLETO,,,
369,1326,2,12,1,COMPLETO,,,
370,1106,2,12,1,COMPLETO,,,
371,1615,2,12,1,COMPLETO,,,
372,1174,2,12,1,COMPLETO,etiq apagada,,
373,4467,2,12,1,COMPLETO,Duplicado na  B7,2025-12-02 07:26:21.923648,
376,1584,2,12,1,COMPLETO,,2025-12-02 07:51:37.517280,
375,1633,2,12,1,COMPLETO,,2025-12-02 07:52:21.320335,
377,1653,2,12,1,COMPLETO,,2025-12-02 07:53:44.867847,
378,4470,2,12,1,COMPLETO,,2025-12-02 07:54:01.186839,
379,4472,2,12,1,COMPLETO,,2025-12-02 07:54:24.193595,
385,1643,2,12,1,COMPLETO,,,
386,4474,2,12,1,COMPLETO,,,
387,1497,2,12,1,COMPLETO,,,
388,1234,2,12,1,COMPLETO,,,
389,1063,2,12,1,COMPLETO,,,
390,1436,2,12,1,COMPLETO,,,
391,4475,2,12,1,COMPLETO,,,
392,1641,2,12,1,COMPLETO,,,
393,4478,2,12,1,COMPLETO,,,
290,4446,2,12,1,COMPLETO,,2026-01-19 08:28:19.018481,SALA DE AULA B9 - SALA DE AULA B9(IFMT - PDL)
394,1345,2,12,1,COMPLETO,,,
395,1365,2,12,1,COMPLETO,,,
396,2327,2,14,1,COMPLETO,,,
397,2317,2,14,1,COMPLETO,,,
398,2343,2,14,1,COMPLETO,,,
399,2321,2,14,1,COMPLETO,,,
400,2341,2,14,1,COMPLETO,,,
401,2329,2,14,1,COMPLETO,,,
402,2311,2,14,1,COMPLETO,,,
403,2313,2,14,1,COMPLETO,,,
404,2309,2,14,1,COMPLETO,,,
405,2325,2,14,1,COMPLETO,,,
406,2333,2,14,1,COMPLETO,,,
407,2315,2,14,1,COMPLETO,,,
408,2339,2,14,1,COMPLETO,,,
409,2331,2,14,1,COMPLETO,,,
410,2307,2,14,1,COMPLETO,,,
411,2335,2,14,1,COMPLETO,,2025-12-05 09:22:21.630192,
413,2323,2,14,1,COMPLETO,,,
414,2345,2,14,1,COMPLETO,,,
415,2319,2,14,1,COMPLETO,,2025-12-05 11:23:05.669564,
418,2223,2,7,1,COMPLETO,,,
419,2222,2,7,1,COMPLETO,,,
420,2213,2,7,1,COMPLETO,,,
421,2212,2,7,1,COMPLETO,,,
423,1512,2,11,1,COMPLETO,,,
425,1372,2,11,1,COMPLETO,,,
428,1528,2,11,1,COMPLETO,,2026-01-12 18:58:21.834657,SALA DE AULA B1 - SALA DE AULA B1(IFMT - PDL)
429,1502,2,11,1,COMPLETO,,2026-01-12 18:58:37.398491,SALA DE AULA B1 - SALA DE AULA B1(IFMT - PDL)
424,1640,2,11,1,COMPLETO,,2026-01-12 18:58:59.177735,SALA DE AULA B1 - SALA DE AULA B1(IFMT - PDL)
422,4568,2,11,1,COMPLETO,,2026-01-12 18:59:10.988452,SALA DE AULA B1 - SALA DE AULA B1(IFMT - PDL)
426,1444,2,11,1,COMPLETO,,2026-01-12 18:59:22.784599,SALA DE AULA B1 - SALA DE AULA B1(IFMT - PDL)
427,4591,2,11,1,COMPLETO,,2026-01-12 18:59:34.830310,SALA DE AULA B1 - SALA DE AULA B1(IFMT - PDL)
436,4452,2,11,1,COMPLETO,,2026-01-12 18:59:53.564266,SALA DE AULA B1 - SALA DE AULA B1(IFMT - PDL)
437,1382,2,11,1,COMPLETO,,2026-01-12 19:00:02.013337,SALA DE AULA B1 - SALA DE AULA B1(IFMT - PDL)
438,4548,2,11,1,COMPLETO,,2026-01-13 10:10:29.889672,SALA DE AULA B1 - SALA DE AULA B1(IFMT - PDL)
439,4585,2,11,1,COMPLETO,,2026-01-13 10:10:41.763415,SALA DE AULA B1 - SALA DE AULA B1(IFMT - PDL)
440,4565,2,11,1,COMPLETO,,2026-01-13 10:10:53.362825,SALA DE AULA B1 - SALA DE AULA B1(IFMT - PDL)
441,4609,2,11,1,COMPLETO,,2026-01-13 10:11:16.511645,SALA DE AULA B1 - SALA DE AULA B1(IFMT - PDL)
442,1742,2,11,1,COMPLETO,,2026-01-13 10:11:25.344177,SALA DE AULA B1 - SALA DE AULA B1(IFMT - PDL)
443,1226,2,11,1,COMPLETO,,2026-01-13 10:12:30.464780,SALA DE AULA B1 - SALA DE AULA B1(IFMT - PDL)
444,4572,2,11,1,COMPLETO,,2026-01-13 10:12:49.398910,SALA DE AULA B1 - SALA DE AULA B1(IFMT - PDL)
445,4476,2,11,1,COMPLETO,,2026-01-13 10:33:58.583644,SALA DE AULA B1 - SALA DE AULA B1(IFMT - PDL)
446,4583,2,11,1,COMPLETO,,2026-01-13 10:34:06.869927,SALA DE AULA B1 - SALA DE AULA B1(IFMT - PDL)
447,4580,2,11,1,COMPLETO,,2026-01-13 10:34:17.270146,SALA DE AULA B1 - SALA DE AULA B1(IFMT - PDL)
448,1592,2,11,1,COMPLETO,,2026-01-13 10:34:28.974755,SALA DE AULA B1 - SALA DE AULA B1(IFMT - PDL)
449,1320,2,11,1,COMPLETO,,2026-01-13 10:34:43.332812,SALA DE AULA B1 - SALA DE AULA B1(IFMT - PDL)
450,1198,2,11,1,COMPLETO,,2026-01-13 10:34:53.608250,SALA DE AULA B1 - SALA DE AULA B1(IFMT - PDL)
451,4557,2,11,1,COMPLETO,,2026-01-13 10:35:06.391514,SALA DE AULA B1 - SALA DE AULA B1(IFMT - PDL)
